#Table1
class,g,r,z
GALAXY,22.25047,20.67281,0.565316
GALAXY,22.25047,20.67281,0.5652249
GALAXY,22.04381,20.03706,0.4710455
GALAXY,22.41387,20.43484,0.4734772
GALAXY,22.41387,20.43484,0.4732858
GALAXY,17.60042,16.52438,0.1078532
GALAXY,17.60042,16.52438,0.1078763
GALAXY,18.48827,17.44714,0.1086676
GALAXY,18.48827,17.44714,0.1085765
GALAXY,18.48827,17.44714,0.1086441
GALAXY,17.81583,16.76317,0.1078335
GALAXY,17.81583,16.76317,0.1078793
GALAXY,17.81583,16.76317,0.1078876
GALAXY,18.69387,18.18153,0.26197
GALAXY,18.69387,18.18153,0.2619638
GALAXY,18.69387,18.18153,0.261961
GALAXY,20.77924,19.0214,0.4241217
GALAXY,22.38299,20.67459,0.5192133
GALAXY,22.84582,21.10644,0.5677387
GALAXY,21.78318,20.0477,0.5678073
GALAXY,22.72227,21.02223,0.5665779
QSO,17.36835,16.66833,0.1597992
QSO,17.36835,16.66833,1.0918
GALAXY,16.47898,15.8053,0.0708397
GALAXY,16.47898,15.8053,0.07083587
GALAXY,16.47898,15.8053,0.07083294
GALAXY,21.72421,20.06021,0.5718639
QSO,21.44805,21.53919,2.298419
QSO,21.44805,21.53919,2.298913
GALAXY,22.71591,20.21314,0.447748
GALAXY,18.60877,17.57698,0.1081338
GALAXY,18.60877,17.57698,0.1080736
GALAXY,19.59071,18.10323,0.2125953
GALAXY,19.59071,18.10323,0.2126138
GALAXY,22.19052,20.81085,0.5059143
GALAXY,22.3681,20.73038,0.6159518
GALAXY,22.3681,20.73038,0.6158924
GALAXY,22.24312,20.55598,0.5693163
GALAXY,17.47245,16.68009,0.1075579
GALAXY,17.47245,16.68009,0.1075916
GALAXY,17.47245,16.68009,0.1075899
GALAXY,18.39115,17.33829,0.1315612
GALAXY,18.39115,17.33829,0.1316419
GALAXY,18.39115,17.33829,0.1316209
GALAXY,17.7564,17.28755,0.005791203
QSO,20.95644,20.92163,2.867194
QSO,20.95644,20.92163,2.866858
GALAXY,22.50787,20.92069,0.5084419
GALAXY,22.50787,20.92069,0.5082579
GALAXY,22.07312,20.40472,0.6056404
GALAXY,22.07312,20.40472,0.6054121
GALAXY,22.62806,20.97736,0.6734458
GALAXY,21.97707,19.85027,0.5668075
GALAXY,21.97707,19.85027,0.5669818
GALAXY,21.66608,20.01736,0.5085275
GALAXY,21.73294,19.92415,0.5079251
GALAXY,16.85324,16.05159,0.04873844
GALAXY,16.85324,16.05159,0.04870981
GALAXY,16.85324,16.05159,0.04868324
GALAXY,18.24298,17.33698,0.1187428
GALAXY,18.24298,17.33698,0.1186944
GALAXY,21.26938,20.20399,0.5695545
GALAXY,21.26938,20.20399,0.5699608
GALAXY,22.07924,20.45583,0.5082632
GALAXY,22.07924,20.45583,0.5083274
QSO,22.45432,20.28707,1.169228
GALAXY,22.33374,20.29873,0.511135
GALAXY,21.02006,19.3578,0.5054605
QSO,20.91722,20.82794,2.78408
GALAXY,21.98428,20.58742,0.597887
GALAXY,21.65164,19.88422,0.5179189
GALAXY,15.90883,13.46431,0
GALAXY,15.90883,13.46431,0
GALAXY,19.22331,17.8382,0.2586406
GALAXY,18.29117,17.22979,0.1183163
GALAXY,18.29117,17.22979,0.1182997
GALAXY,18.29117,17.22979,0.1183668
GALAXY,21.37816,19.55294,0.3808182
GALAXY,22.40109,20.84425,0.5973523
GALAXY,21.63128,20.4558,0.7064009
GALAXY,22.21829,20.67521,0.6189372
QSO,18.12033,18.00026,2.08516
QSO,18.12033,18.00026,2.085916
QSO,18.12033,18.00026,2.086347
GALAXY,16.45744,16.17594,0.006975475
GALAXY,20.79208,19.03418,0.330297
GALAXY,22.96342,20.97236,0.6326933
GALAXY,18.34314,17.59611,0.1171991
GALAXY,18.34314,17.59611,0.1171253
QSO,20.10972,20.07087,1.566123
GALAXY,21.44579,20.31833,0.2190852
GALAXY,17.99611,17.04513,0.1228567
GALAXY,17.99611,17.04513,0.1229224
QSO,23.07235,21.44876,3.906126
GALAXY,18.28945,17.21914,0.1232789
GALAXY,18.28945,17.21914,0.1232988
GALAXY,22.64825,20.65262,0.5232067
GALAXY,17.82589,17.20399,0.09510107
GALAXY,17.82589,17.20399,0.09506696
GALAXY,22.2175,20.45351,0.5140488
GALAXY,17.38919,17.0689,0.02136928
GALAXY,18.8752,17.73948,0.1814481
GALAXY,17.71587,17.31064,0.03146952
QSO,20.89735,20.37791,6.116723
GALAXY,20.89735,20.37791,0.1644164
GALAXY,22.70971,20.7994,0.5405675
GALAXY,20.94973,19.21488,0.3423605
QSO,22.46472,21.35447,3.722147
GALAXY,22.15578,21.21111,0.3288085
GALAXY,18.19093,17.3796,0.1038417
GALAXY,21.6698,20.27245,0.5403868
QSO,20.87719,20.28842,1.051509
QSO,21.10338,20.05621,0.5220512
GALAXY,21.42695,19.89878,0.4427765
GALAXY,22.6602,20.97805,0.548507
GALAXY,18.14896,17.49914,0.157098
GALAXY,17.921,17.06458,0.1586266
GALAXY,17.04281,16.69544,0.07009142
GALAXY,18.13623,17.77322,0.07794146
GALAXY,20.58606,18.86243,0.405037
GALAXY,21.77244,20.25375,0.5396683
GALAXY,21.82905,20.34012,0.4422844
GALAXY,21.0224,19.33069,0.4851659
GALAXY,23.92031,21.26147,0.596844
GALAXY,21.46902,19.54273,0.5089974
GALAXY,22.87406,20.97095,0.6239589
GALAXY,22.42027,20.54766,0.4843903
GALAXY,21.69038,20.71372,0.6596224
GALAXY,14.48584,13.77155,0.01902536
GALAXY,17.66169,16.50255,0.1580449
GALAXY,21.73404,20.60058,0.608511
GALAXY,22.75511,20.88305,0.5777104
GALAXY,16.50031,15.87221,0.06989451
GALAXY,17.9242,17.15133,0.1201394
GALAXY,17.8519,16.80428,0.1222102
QSO,20.08907,19.92932,2.940732
GALAXY,21.30122,19.39819,0.3518962
GALAXY,22.35223,20.90767,0.4826502
GALAXY,18.10703,17.09245,0.1199253
GALAXY,23.78038,21.17438,0.2477166
GALAXY,18.16947,17.33998,0.07097115
GALAXY,17.00582,16.33551,0.08496574
GALAXY,19.84204,18.21035,0.3264291
QSO,20.36652,20.15311,0.7122354
GALAXY,22.86452,21.12271,0.6282752
GALAXY,20.14667,18.56415,0.3230903
GALAXY,18.85892,17.43307,0.2033939
GALAXY,18.75589,18.2605,0.1572003
GALAXY,18.23603,17.19775,0.118066
GALAXY,18.8469,17.83532,0.1179317
GALAXY,18.11581,17.3939,0.1188819
QSO,18.38962,17.54892,0.1183385
GALAXY,17.83797,17.03366,0.1188491
GALAXY,18.23296,17.23491,0.1199048
GALAXY,19.34332,17.58508,0.3241772
GALAXY,19.94405,18.21567,0.3271875
GALAXY,19.17227,17.8537,0.2023069
GALAXY,18.51801,17.64305,0.1176527
GALAXY,22.46425,21.14179,0.7116725
GALAXY,21.48929,20.34476,0.7214633
GALAXY,17.54367,16.46906,0.1326728
GALAXY,18.55973,17.40048,0.1341757
QSO,20.63457,20.32816,3.053118
QSO,20.48467,20.48391,2.359462
GALAXY,22.97124,21.09802,0.5802745
GALAXY,24.82645,21.97905,0.5804394
GALAXY,22.32611,20.80447,0.5809045
GALAXY,21.97695,20.33482,0.6144972
GALAXY,22.16187,20.44609,0.443087
GALAXY,23.17752,20.80744,0.5612718
GALAXY,18.06012,17.47485,0.1086603
GALAXY,20.40186,18.70387,0.3610459
GALAXY,21.90969,20.38979,0.5175349
GALAXY,21.90666,20.55529,0.5572847
QSO,19.73943,19.67924,0.7725163
GALAXY,19.3337,17.69938,0.2590183
GALAXY,19.53318,17.97269,0.2598633
GALAXY,18.39182,17.62651,0.1592083
GALAXY,19.45341,17.91379,0.2592335
GALAXY,21.62257,21.47298,0.958419
GALAXY,21.14573,19.33041,0.3585178
GALAXY,22.21293,20.73227,0.5847073
GALAXY,21.9304,20.49449,0.4462497
GALAXY,22.12729,20.72013,0.5810806
GALAXY,22.43198,20.94989,0.517371
QSO,19.65572,19.23786,2.294374
QSO,19.65572,19.23786,2.292591
QSO,19.65572,19.23786,2.307709
GALAXY,18.17842,17.53781,0.08071183
GALAXY,17.00276,16.55171,0.04931947
GALAXY,17.85946,17.43954,0.06181338
GALAXY,22.13337,20.53697,0.5600916
GALAXY,17.2688,16.4058,0.06637767
GALAXY,18.27246,17.78881,0.1460524
QSO,20.45681,20.18374,2.291709
QSO,20.62625,20.38703,1.283217
GALAXY,22.06567,20.09364,0.4945724
GALAXY,21.58311,19.87491,0.4947237
QSO,21.49339,19.88187,1.113821
GALAXY,21.81312,20.12767,0.4946187
GALAXY,22.26242,20.63923,0.5558137
GALAXY,21.62435,20.01753,0.4949232
GALAXY,22.14651,20.55096,0.4713454
GALAXY,22.84434,20.99127,0.5432565
GALAXY,17.87015,16.96556,0.1461216
GALAXY,19.31254,17.8364,0.2622072
QSO,21.02674,20.66495,6.385725
QSO,21.37283,21.13387,6.685126
GALAXY,21.6817,20.24143,0.4701875
GALAXY,21.29264,19.69406,0.5598767
QSO,22.16032,21.57257,1.381491
GALAXY,22.03263,20.81715,0.5599979
GALAXY,18.71622,17.39244,0.2097146
GALAXY,22.77941,20.49094,0.4710026
GALAXY,20.71982,18.87882,0.4015424
GALAXY,22.20141,20.3571,0.5262482
GALAXY,21.4239,20.39588,0.2648062
GALAXY,22.0204,20.43975,0.4969921
GALAXY,18.45971,17.71127,0.1695888
GALAXY,21.95886,19.93171,0.448637
QSO,19.56222,19.17906,1.11762
GALAXY,22.21333,20.57735,0.5096069
GALAXY,21.82392,20.3626,0.5102609
GALAXY,22.12565,20.94637,0.7691626
GALAXY,21.5105,20.30116,0.6720626
QSO,17.43707,17.28362,0.9198498
GALAXY,18.08972,17.7972,0.0486598
GALAXY,16.64703,16.10961,0.04202126
GALAXY,20.20051,18.45576,0.3234811
GALAXY,18.09463,17.04736,0.1789899
GALAXY,18.54156,17.75208,0.1777218
GALAXY,22.14966,20.92085,0.5891988
GALAXY,22.3551,20.56251,0.6095803
GALAXY,17.11435,16.50102,0.07237981
GALAXY,17.61476,16.78795,0.07218131
QSO,19.46759,18.99985,1.290582
GALAXY,18.32858,17.76066,0.1503709
QSO,19.11015,18.90107,2.848559
QSO,19.11015,18.90107,2.880329
QSO,19.11015,18.90107,2.845258
QSO,20.46109,20.37837,2.133276
GALAXY,20.5002,18.74729,0.384544
QSO,21.81328,21.45224,6.542268
GALAXY,18.54492,17.77901,0.1510636
QSO,21.62621,21.03781,3.430038
GALAXY,21.78563,20.21569,0.4558345
GALAXY,22.25948,20.47309,0.5540805
GALAXY,21.81745,20.55798,0.5678856
GALAXY,23.37217,21.36433,0.7162884
GALAXY,17.77446,16.97824,0.1144965
GALAXY,17.24314,16.53551,0.0803081
GALAXY,16.7555,16.07469,0.07249907
QSO,18.28213,18.17361,2.64753
QSO,18.28213,18.17361,2.64533
GALAXY,17.03438,16.41441,0.1146837
GALAXY,17.03438,16.41441,0.1146823
GALAXY,17.47009,17.15168,0.03258956
QSO,21.31382,21.16265,1.417577
QSO,21.02015,20.86511,2.407684
GALAXY,18.05081,17.66049,0.04270654
GALAXY,22.04933,20.50477,0.4739796
GALAXY,17.72581,16.7036,0.1153718
GALAXY,17.91322,17.55963,0.0320312
GALAXY,16.66522,15.73765,0.08042388
GALAXY,18.6892,17.58561,0.1143699
QSO,20.85465,20.65615,2.413624
GALAXY,21.63961,19.68695,0.4906832
GALAXY,21.86507,20.60309,0.5094112
GALAXY,21.51202,20.00874,0.4735614
GALAXY,21.51202,20.00874,0.4737791
GALAXY,22.21828,20.53166,0.4913743
GALAXY,22.49583,21.348,0.7518749
GALAXY,18.0377,17.2326,0.1598769
GALAXY,18.55173,17.66422,0.08134889
GALAXY,18.36923,17.54353,0.08054847
GALAXY,17.9922,17.20122,0.1148159
GALAXY,21.31321,19.90782,0.4718491
GALAXY,21.69852,20.24535,0.5537235
GALAXY,22.10259,20.32001,0.5083398
QSO,18.83137,18.55205,1.016767
GALAXY,17.50105,17.01066,0.07150065
GALAXY,18.26584,17.38348,0.07169601
GALAXY,18.59853,17.37866,0.1711636
GALAXY,17.97082,17.23584,0.09209978
GALAXY,17.77632,16.8664,0.08057746
QSO,20.94234,20.42558,0.6629705
GALAXY,23.72855,20.62539,0.5534638
GALAXY,21.88461,20.32319,0.4937512
GALAXY,18.76838,17.68217,0.1524037
GALAXY,18.76838,17.68217,0.1523384
GALAXY,23.08252,21.15669,0.582482
GALAXY,21.99652,20.40593,0.5669037
GALAXY,22.23272,20.48755,0.5048414
GALAXY,22.03534,20.36415,0.4994081
GALAXY,23.03566,21.02226,0.6162431
GALAXY,17.43858,16.87152,0.02169727
GALAXY,17.43858,16.87152,0.02165666
GALAXY,18.51857,17.70681,0.09772969
GALAXY,18.51857,17.70681,0.09771052
GALAXY,20.15219,18.51413,0.3085954
QSO,20.46875,20.28836,2.536751
GALAXY,22.69931,21.12545,0.5216013
QSO,21.34435,20.45463,3.645079
QSO,21.34435,20.45463,3.657509
QSO,21.34435,20.45463,3.668064
GALAXY,22.92977,20.91738,0.6619102
QSO,21.76406,21.55923,2.528323
GALAXY,21.40011,19.7703,0.4747747
QSO,21.95131,21.80013,1.305431
QSO,19.43257,19.33988,1.512196
QSO,19.43257,19.33988,1.512426
QSO,19.27682,19.17929,1.547324
QSO,19.27682,19.17929,1.54791
GALAXY,18.32322,17.45266,0.08557237
GALAXY,18.32322,17.45266,0.08556654
GALAXY,23.45808,20.86696,0.6213588
GALAXY,23.68966,21.3898,0.691471
GALAXY,22.44453,20.96659,0.5853865
GALAXY,22.80672,21.10716,0.5604053
QSO,17.30118,17.09378,0.9184986
QSO,17.30118,17.09378,0.9176456
QSO,19.63747,19.57032,2.3951
GALAXY,18.4749,17.67463,0.1444637
GALAXY,18.4749,17.67463,0.1444571
GALAXY,22.25292,20.49362,0.4775985
GALAXY,22.71587,20.91621,0.5599527
GALAXY,22.95002,20.80937,0.5741406
GALAXY,18.09401,17.2577,0.07775991
GALAXY,18.09401,17.2577,0.07774528
GALAXY,17.37481,16.77762,0.07277459
GALAXY,17.37481,16.77762,0.07281715
GALAXY,18.25216,17.35242,0.1463363
GALAXY,18.25216,17.35242,0.1463688
GALAXY,17.97956,17.16069,0.1409509
GALAXY,17.97956,17.16069,0.1409499
GALAXY,17.81586,16.93966,0.07773905
GALAXY,17.81586,16.93966,0.07770815
GALAXY,22.20031,20.51343,0.5611891
GALAXY,20.73238,19.07127,0.4778001
GALAXY,21.8184,20.1043,0.4862027
GALAXY,22.03969,20.33442,0.5614706
GALAXY,21.28342,20.13146,0.559782
GALAXY,19.0639,17.71194,0.2681947
GALAXY,19.0639,17.71194,0.2682365
GALAXY,21.93443,20.22382,0.5192119
QSO,20.67113,20.10058,0.4328562
QSO,20.67113,20.10058,0.4326553
GALAXY,17.6378,16.95176,0.0855158
GALAXY,17.6378,16.95176,0.08550737
GALAXY,18.55502,17.56026,0.144518
GALAXY,18.55502,17.56026,0.1445339
GALAXY,18.33756,17.26472,0.1450251
GALAXY,18.33756,17.26472,0.1449482
GALAXY,17.62996,16.74303,0.08573357
GALAXY,17.62996,16.74303,0.08571386
QSO,22.03092,21.76012,3.109924
QSO,21.58537,21.60138,2.268111
GALAXY,21.56607,19.80981,0.5211568
GALAXY,21.4811,19.78821,0.4329061
GALAXY,22.49535,20.67914,0.5900866
GALAXY,17.2419,16.8041,0.03449303
GALAXY,17.2419,16.8041,0.03448889
GALAXY,18.0419,17.38479,0.1447889
GALAXY,18.0419,17.38479,0.1447831
GALAXY,21.85516,20.06316,0.5209827
GALAXY,20.75206,18.93816,0.4193295
QSO,21.9027,21.80329,2.776289
GALAXY,21.29283,19.23965,0.4202508
GALAXY,22.0029,20.24854,0.6472836
GALAXY,19.22716,17.80522,0.2471189
GALAXY,18.11253,17.13869,0.0779044
GALAXY,18.11253,17.13869,0.07790425
GALAXY,18.11881,17.25317,0.1712487
GALAXY,18.11881,17.25317,0.1712528
GALAXY,19.84758,18.20191,0.3201663
GALAXY,19.84758,18.20191,0.3203083
GALAXY,-9999,-9999,0.2729689
GALAXY,-9999,-9999,0.2730965
GALAXY,21.86893,20.43213,0.6890469
GALAXY,21.45024,20.65289,0.6786114
GALAXY,23.13532,21.06174,0.6767426
GALAXY,21.80673,20.38941,0.5182016
GALAXY,21.9976,20.21854,0.4775961
GALAXY,21.37802,19.87813,0.5192883
GALAXY,21.82506,20.88084,0.7269759
GALAXY,22.21023,20.46075,0.4778591
GALAXY,19.08201,17.7388,0.2048369
GALAXY,19.08201,17.7388,0.2049379
GALAXY,18.62219,17.46551,0.1624174
GALAXY,18.62219,17.46551,0.1624072
GALAXY,19.54484,19.13623,0.9215446
GALAXY,20.60617,18.81121,0.3303167
GALAXY,19.76056,18.24737,0.2449236
GALAXY,21.37156,20.10615,0.5869852
GALAXY,20.92218,19.13287,0.3789751
GALAXY,21.69619,20.06768,0.4816489
QSO,21.87638,21.96977,2.352007
GALAXY,22.11832,20.21834,0.4766893
GALAXY,23.3094,21.48151,0.737768
GALAXY,18.59777,17.43087,0.1616571
GALAXY,18.59777,17.43087,0.1615448
GALAXY,18.41754,17.09581,0.2082298
GALAXY,18.41754,17.09581,0.2081211
GALAXY,16.12643,15.68074,0.02233166
GALAXY,17.33856,16.6038,0.08185956
GALAXY,17.33856,16.6038,0.08197466
QSO,20.61633,20.54911,2.416565
GALAXY,23.06364,20.99294,0.6757341
GALAXY,19.07689,17.73929,0.2200638
GALAXY,19.07689,17.73929,0.219958
GALAXY,18.04771,17.56173,0.08388751
GALAXY,18.04771,17.56173,0.08386669
QSO,20.93207,20.96587,2.297261
QSO,21.2443,21.46176,2.300409
GALAXY,22.06588,20.57635,0.5845231
GALAXY,22.04233,20.21868,0.5861862
GALAXY,22.4308,20.74839,0.5854512
GALAXY,22.09288,20.38101,0.475793
GALAXY,22.09288,20.38101,0.4759541
GALAXY,22.45035,20.61141,0.6021208
GALAXY,17.97603,17.29479,0.08408906
GALAXY,17.97603,17.29479,0.08395544
GALAXY,18.13907,17.60488,0.08703937
GALAXY,18.13907,17.60488,0.08713547
QSO,20.36942,20.14451,2.966822
QSO,20.59259,20.76563,2.24843
GALAXY,21.60849,19.98572,0.4762194
GALAXY,21.57081,20.12947,0.468869
GALAXY,23.29543,21.543,0.6864292
GALAXY,22.72145,20.69187,0.6905171
GALAXY,18.74973,17.44616,0.2916132
GALAXY,18.74973,17.44616,0.2917077
QSO,19.21973,19.06963,2.123586
QSO,19.21973,19.06963,2.123821
GALAXY,16.34152,15.52564,0.08395507
GALAXY,16.34152,15.52564,0.08399552
QSO,19.19681,19.17012,1.871328
QSO,19.19681,19.17012,1.873134
GALAXY,18.93031,17.52507,0.2240688
QSO,19.4672,19.27424,3.106988
GALAXY,16.94714,16.24431,0.1009769
GALAXY,18.06156,17.15812,0.101529
GALAXY,18.42557,17.5095,0.1478321
GALAXY,22.35552,20.58688,0.4360466
GALAXY,22.35552,20.58688,0.4359981
GALAXY,22.70597,21.29823,0.4982198
GALAXY,22.70597,21.29823,0.4983884
GALAXY,18.52185,17.42303,0.1461147
GALAXY,17.92482,17.11001,0.1476101
GALAXY,17.36954,16.20733,0.1457644
GALAXY,18.86105,17.75818,0.1448863
GALAXY,18.56932,17.85503,0.1465182
GALAXY,16.41143,16.00705,0.01237381
GALAXY,17.79751,17.3861,0.1165503
QSO,18.9747,18.95401,2.594932
QSO,18.9747,18.95401,2.592611
QSO,20.01615,19.76387,2.266325
GALAXY,18.62081,18.14798,0.1876075
GALAXY,-9999,-9999,0.2525695
GALAXY,20.00191,18.35624,0.2732892
GALAXY,22.17898,20.67172,0.5137983
GALAXY,21.43896,19.71997,0.5136786
GALAXY,21.63094,19.95121,0.5573013
GALAXY,22.50977,20.59875,0.5258853
GALAXY,18.06294,16.95826,0.1504248
GALAXY,18.63783,17.44842,0.1851005
GALAXY,19.40379,17.94052,0.2516587
QSO,20.8871,19.47909,1.010376
GALAXY,22.59848,20.6812,0.5251253
GALAXY,22.20659,20.69309,0.5124802
GALAXY,22.46612,21.18661,0.6706561
GALAXY,22.11004,20.35754,0.5284484
GALAXY,22.10501,20.66737,0.6131484
GALAXY,18.32988,17.24918,0.1496545
GALAXY,17.82898,17.43766,0.02519036
GALAXY,22.55733,20.83608,0.6774749
GALAXY,22.28877,21.18809,0.6838333
GALAXY,22.82531,20.76846,0.4221878
GALAXY,22.82531,20.76846,0.4224373
GALAXY,22.56379,20.98486,0.6844999
GALAXY,22.56379,20.98486,0.6840581
GALAXY,22.56379,20.98486,0.6842009
GALAXY,22.43867,20.76097,0.5036734
GALAXY,22.43867,20.76097,0.5035567
GALAXY,22.43867,20.76097,0.5035014
GALAXY,23.22475,20.93204,0.622799
GALAXY,23.22475,20.93204,0.6221646
GALAXY,23.22475,20.93204,0.6223917
GALAXY,17.46996,16.69207,0.08398743
GALAXY,18.5024,17.25141,0.1903572
GALAXY,16.83528,15.89845,0.08417733
GALAXY,17.23888,16.27929,0.08416566
GALAXY,17.23888,16.27929,0.0841873
GALAXY,17.23888,16.27929,0.08421105
GALAXY,20.43116,18.63454,0.4082415
QSO,21.601,21.96616,2.280782
QSO,21.601,21.96616,2.280008
GALAXY,21.71211,20.33726,0.4487691
GALAXY,21.71211,20.33726,0.4487107
GALAXY,21.71211,20.33726,0.4488485
GALAXY,20.77972,19.85974,0.45424
QSO,21.12132,20.5692,1.745513
GALAXY,22.34585,20.90431,0.7269689
QSO,22.34585,20.90431,0.7269268
QSO,22.34585,20.90431,0.7269109
GALAXY,22.66198,20.91925,0.496463
GALAXY,22.66198,20.91925,0.4966235
GALAXY,22.66198,20.91925,0.4965194
GALAXY,16.40803,15.98817,0
GALAXY,18.60704,17.47729,0.1880652
GALAXY,21.95812,20.44868,0.4649478
GALAXY,21.94271,21.15107,0.7734563
QSO,18.70933,18.73488,0.4900174
GALAXY,-9999,-9999,0.08834489
GALAXY,22.17904,21.3988,0.7756866
GALAXY,21.28756,19.81596,0.4956272
GALAXY,22.13589,20.60666,0.4925557
GALAXY,22.13589,20.60666,0.4924391
GALAXY,22.87189,21.34436,0.5429432
GALAXY,22.87189,21.34436,0.5429
GALAXY,22.87189,21.34436,0.5428151
GALAXY,22.69393,20.82555,0.5427747
GALAXY,16.58212,16.1821,0
QSO,18.84002,18.82285,2.014817
GALAXY,18.18502,17.38777,0.09148846
GALAXY,18.685,17.7966,0.08311027
GALAXY,17.94429,17.05017,0.09564068
GALAXY,19.34017,17.92473,0.2691647
GALAXY,13.99257,13.07748,0.01794305
GALAXY,15.26611,14.36209,0.01906901
GALAXY,18.25183,17.36707,0.105245
QSO,19.10546,18.79448,1.312662
GALAXY,17.53435,16.94957,0.01868426
GALAXY,17.67022,16.3778,0.1883504
GALAXY,17.53276,16.89593,0.08218905
GALAXY,21.52714,20.6134,0.6715084
GALAXY,21.52714,20.6134,0.6715352
GALAXY,14.41509,13.60188,0.01720522
GALAXY,18.00238,17.50918,0.08177521
GALAXY,18.00238,17.50918,0.08182288
GALAXY,18.33645,17.06733,0.1854435
GALAXY,18.33645,17.06733,0.1855298
GALAXY,18.12138,17.7213,0.08197818
GALAXY,18.19889,17.37428,0.08133649
GALAXY,17.37684,16.4664,0.08087636
QSO,20.36661,20.31675,2.276385
QSO,20.36661,20.31675,2.273988
QSO,21.98503,22.03078,1.06039
GALAXY,22.24161,20.58577,0.5218377
GALAXY,22.24161,20.58577,0.5217177
GALAXY,21.75787,20.08091,0.4766009
GALAXY,21.75787,20.08091,0.4763869
GALAXY,17.74768,16.73124,0.1190094
GALAXY,18.35319,17.67282,0.1766877
GALAXY,19.16508,17.7787,0.2331527
GALAXY,19.16508,17.7787,0.2330416
QSO,21.30215,21.27802,2.302861
QSO,21.30215,21.27802,2.302355
GALAXY,21.52872,20.04386,0.5025528
GALAXY,21.52872,20.04386,0.5027147
GALAXY,22.14303,20.81944,0.7163783
GALAXY,22.14303,20.81944,0.7163843
QSO,17.98098,17.97059,0.7215387
GALAXY,18.22762,17.20477,0.1191652
GALAXY,18.22762,17.20477,0.1190611
GALAXY,17.92597,16.92826,0.1777052
GALAXY,17.72777,16.76525,0.08440087
GALAXY,17.72777,16.76525,0.08436722
GALAXY,17.68468,16.7858,0.08476349
GALAXY,17.1066,16.20807,0.08565257
GALAXY,17.77846,16.85433,0.08626503
GALAXY,18.25686,17.54286,0.1767057
GALAXY,16.28006,15.29312,0.08642442
QSO,19.30353,19.05536,1.141155
GALAXY,18.37912,17.36881,0.08058321
GALAXY,16.62088,16.04468,0.07620748
GALAXY,16.62088,16.04468,0.07620737
QSO,20.85305,20.70879,1.57029
QSO,20.85305,20.70879,1.57014
GALAXY,22.10569,20.46775,0.4997718
GALAXY,22.10569,20.46775,0.4996891
GALAXY,22.621,21.00253,0.6188108
GALAXY,22.621,21.00253,0.6188754
GALAXY,17.50819,16.8133,0.0739421
GALAXY,17.50819,16.8133,0.07383361
GALAXY,18.77891,18.33204,0.2451568
GALAXY,17.16551,16.31389,0.08016793
GALAXY,17.16551,16.31389,0.08014426
GALAXY,17.7426,16.79388,0.08574659
GALAXY,17.7426,16.79388,0.08574168
QSO,19.14263,18.90141,1.384546
QSO,19.14263,18.90141,1.385126
GALAXY,22.69999,20.84443,0.7294369
GALAXY,19.87561,18.37019,0.2672138
GALAXY,21.9971,20.30371,0.2920942
GALAXY,21.9971,20.30371,0.2920091
GALAXY,21.78753,20.24518,0.4668582
GALAXY,21.41013,19.82452,0.4628894
GALAXY,21.41013,19.82452,0.4631391
GALAXY,19.43648,19.99986,0.08106742
GALAXY,17.48883,16.56063,0.08507569
GALAXY,17.48883,16.56063,0.08507867
GALAXY,17.78843,16.66876,0.1386215
GALAXY,17.78843,16.66876,0.1386508
GALAXY,18.50964,17.56905,0.09732399
GALAXY,18.50964,17.56905,0.09736972
GALAXY,17.41266,16.52953,0.08237252
GALAXY,17.41266,16.52953,0.08238391
QSO,20.60553,20.39744,2.474879
QSO,21.5325,21.30893,3.430083
GALAXY,21.87428,20.45335,0.5007503
GALAXY,17.37634,16.44042,0.08444127
GALAXY,17.37634,16.44042,0.08446006
GALAXY,18.1049,17.0056,0.08581619
GALAXY,18.1049,17.0056,0.0857183
GALAXY,18.44541,18.0319,0.112491
GALAXY,18.44541,18.0319,0.1124879
GALAXY,18.43584,17.54425,0.08474629
GALAXY,18.43584,17.54425,0.08474323
GALAXY,17.52898,16.63239,0.08265856
GALAXY,17.52898,16.63239,0.08268686
GALAXY,18.24194,17.32929,0.08332017
GALAXY,18.24194,17.32929,0.08327536
GALAXY,18.83911,18.45093,0.08311183
GALAXY,18.83911,18.45093,0.0831333
GALAXY,18.40738,17.56369,0.08580522
GALAXY,18.40738,17.56369,0.08582125
GALAXY,20.32591,18.65762,0.2962711
GALAXY,-9999,-9999,0.211056
GALAXY,-9999,-9999,0.2110228
GALAXY,20.77507,19.04965,0.4421875
GALAXY,20.77507,19.04965,0.4423275
GALAXY,21.95061,20.17825,0.4965562
GALAXY,21.98322,20.11159,0.4966079
GALAXY,22.09569,20.52068,0.6404637
QSO,20.35192,20.31652,2.596532
QSO,20.35192,20.31652,2.591903
GALAXY,18.08885,17.19634,0.08243163
GALAXY,18.08885,17.19634,0.08242302
GALAXY,17.4983,17.0444,0.08395385
GALAXY,17.4983,17.0444,0.08397079
GALAXY,17.66561,16.68239,0.0887843
GALAXY,17.66561,16.68239,0.08884999
GALAXY,19.20319,17.77582,0.2318967
GALAXY,19.20319,17.77582,0.2319642
GALAXY,21.14556,19.34062,0.3517878
GALAXY,22.87616,21.03208,0.6189907
GALAXY,22.07264,20.62114,0.4509733
GALAXY,21.53661,19.92635,0.5053402
GALAXY,17.53111,16.73598,0.08159959
GALAXY,17.53111,16.73598,0.08160174
GALAXY,18.08109,17.12351,0.08377501
